Video,Owner,Keep video Y/N,Notes,Interesting time-ranges,Static Camera Y/N,Useful for Vanguard Y/N,Link
week_2021_08_02/2021_08_05/person_pathing_0939_2399998-2699997.mp4,Alessandro,N,FPV; too crowded,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_05/person_pathing_0939_2399998-2699997.mp4
week_2021_08_02/2021_08_05/person_pathing_0963_1799998-2099998.mp4,Alessandro,N,FPV; too crowded,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_05/person_pathing_0963_1799998-2099998.mp4
week_2021_08_02/2021_08_06/person_pathing_0997_0-300000.mp4,Alessandro,N,FPV; too crowded,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_06/person_pathing_0997_0-300000.mp4
week_2021_08_09/2021_08_09/person_pathing_1045_0-300000.mp4,Alessandro,Y,,0'00''-0'20'';3'45''-4'00'',N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_09/2021_08_09/person_pathing_1045_0-300000.mp4
week_2021_08_09/2021_08_10/person_pathing_1128_0-300000.mp4,Alessandro,N,FPV; too crowded,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_09/2021_08_10/person_pathing_1128_0-300000.mp4
week_2021_08_09/2021_08_10/person_pathing_1147_0-300000.mp4,Alessandro,Y,,2'28''-2'53'',N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_09/2021_08_10/person_pathing_1147_0-300000.mp4
week_2021_08_09/2021_08_11/person_pathing_1200_1499998-1799998.mp4,Alessandro,N,"FPV; too crowded at times, view is not good",,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_09/2021_08_11/person_pathing_1200_1499998-1799998.mp4
week_2021_08_09/2021_08_11/person_pathing_1215_1500000-1800000.mp4,Alessandro,Y,,0'55'-1'15'',N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_09/2021_08_11/person_pathing_1215_1500000-1800000.mp4
week_2021_08_09/2021_08_11/person_pathing_1218_3300000-3600000.mp4,Alessandro,Y,,1'56''-2'15'',N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_09/2021_08_11/person_pathing_1218_3300000-3600000.mp4
week_2021_08_09/2021_08_13/person_pathing_1294_300000-600000.mp4,Alessandro,N,FPV; too crowded,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_09/2021_08_13/person_pathing_1294_300000-600000.mp4
week_2021_08_09/2021_08_13/person_pathing_1335_0-300000.mp4,Alessandro,N,"FPV; too crowded at times, view is not good",,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_09/2021_08_13/person_pathing_1335_0-300000.mp4
week_2021_08_16/2021_08_17/person_pathing_1416_0-300000.mp4,Alessandro,N,FPV; too crowded,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_16/2021_08_17/person_pathing_1416_0-300000.mp4
week_2021_08_16/2021_08_20/person_pathing_1620_1200000-1500000.mp4,Alessandro,N,FPV; view is too close to the people,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_16/2021_08_20/person_pathing_1620_1200000-1500000.mp4
week_2021_08_16/2021_08_20/person_pathing_1622_900000-1200000.mp4,Alessandro,N,FPV; view is too close to the people,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_16/2021_08_20/person_pathing_1622_900000-1200000.mp4
week_2021_08_16/2021_08_20/person_pathing_1628_300000-600000.mp4,Alessandro,N,FPV; too crowded,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_16/2021_08_20/person_pathing_1628_300000-600000.mp4
week_2021_08_16/2021_08_20/person_pathing_1631_900000-1200000.mp4,Alessandro,N,"FPV; too crowded at times, view is not good",,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_16/2021_08_20/person_pathing_1631_900000-1200000.mp4
week_2021_07_12/2021_07_15/person_pathing_0123_0-300000.mp4,Alessandro,N,"FPV; too crowded at times, view is not good",,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_12/2021_07_15/person_pathing_0123_0-300000.mp4
week_2021_07_19/2021_07_23/person_pathing_0372_1200000-1491467.mp4,Alessandro,Y,FPV,1'10''- 1'43'',N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_23/person_pathing_0372_1200000-1491467.mp4
week_2021_07_19/2021_07_23/person_pathing_0378_600000-900000.mp4,Alessandro,Y,FPV,0'22''- 0'45'',N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_23/person_pathing_0378_600000-900000.mp4
week_2021_07_19/2021_07_24/person_pathing_0405_300000-599999.mp4,Alessandro,N,"FPV; too crowded at times, view is not good",,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_24/person_pathing_0405_300000-599999.mp4
week_2021_07_26/2021_07_26/person_pathing_0416_300000-600000.mp4,Alessandro,Y,FPV,0'00''- 0'40'',N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_26/person_pathing_0416_300000-600000.mp4
week_2021_07_26/2021_07_26/person_pathing_0441_600000-900000.mp4,Alessandro,N,FPV; too crowded,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_26/person_pathing_0441_600000-900000.mp4
week_2021_07_26/2021_07_27/person_pathing_0474_300000-600000.mp4,Alessandro,Y,FPV,0'10''- 0'23'',N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_27/person_pathing_0474_300000-600000.mp4
week_2021_07_26/2021_07_28/person_pathing_0565_900000-1200000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_28/person_pathing_0565_900000-1200000.mp4
week_2021_07_26/2021_07_28/person_pathing_0566_1200000-1346600.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_28/person_pathing_0566_1200000-1346600.mp4
week_2021_07_26/2021_07_28/person_pathing_0567_1500000-1542633.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_28/person_pathing_0567_1500000-1542633.mp4
week_2021_07_26/2021_07_29/person_pathing_0620_0-300000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_29/person_pathing_0620_0-300000.mp4
week_2021_07_26/2021_07_30/person_pathing_0641_1200000-1332332.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_30/person_pathing_0641_1200000-1332332.mp4
week_2021_07_26/2021_07_30/person_pathing_0650_300000-600000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_30/person_pathing_0650_300000-600000.mp4
week_2021_07_26/2021_07_30/person_pathing_0650_600000-900000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_30/person_pathing_0650_600000-900000.mp4
week_2021_07_26/2021_07_30/person_pathing_0655_1800000-1902900.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_30/person_pathing_0655_1800000-1902900.mp4
week_2021_07_26/2021_07_30/person_pathing_0664_0-300000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_30/person_pathing_0664_0-300000.mp4
week_2021_07_26/2021_07_30/person_pathing_0664_300000-600000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_30/person_pathing_0664_300000-600000.mp4
week_2021_07_26/2021_07_30/person_pathing_0666_2400000-2700000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_30/person_pathing_0666_2400000-2700000.mp4
week_2021_07_26/2021_07_30/person_pathing_0667_0-300000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_30/person_pathing_0667_0-300000.mp4
week_2021_07_26/2021_07_30/person_pathing_0684_300000-600000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_26/2021_07_30/person_pathing_0684_300000-600000.mp4
week_2021_08_02/2021_08_02/person_pathing_0752_2999997-3299997.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_02/person_pathing_0752_2999997-3299997.mp4
week_2021_08_02/2021_08_02/person_pathing_0760_0-300000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_02/person_pathing_0760_0-300000.mp4
week_2021_08_02/2021_08_02/person_pathing_0764_1500000-1800000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_02/person_pathing_0764_1500000-1800000.mp4
week_2021_08_02/2021_08_02/person_pathing_0764_1800000-2100000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_02/person_pathing_0764_1800000-2100000.mp4
week_2021_08_02/2021_08_02/person_pathing_0768_300000-600000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_02/person_pathing_0768_300000-600000.mp4
week_2021_08_02/2021_08_03/person_pathing_0785_1500000-1800000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_03/person_pathing_0785_1500000-1800000.mp4
week_2021_08_02/2021_08_03/person_pathing_0786_0-300000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_03/person_pathing_0786_0-300000.mp4
week_2021_08_02/2021_08_03/person_pathing_0790_2100000-2400000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_03/person_pathing_0790_2100000-2400000.mp4
week_2021_08_02/2021_08_03/person_pathing_0799_599999-899999.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_03/person_pathing_0799_599999-899999.mp4
week_2021_08_02/2021_08_03/person_pathing_0804_600000-900000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_03/person_pathing_0804_600000-900000.mp4
week_2021_08_02/2021_08_04/person_pathing_0837_300000-599999.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_04/person_pathing_0837_300000-599999.mp4
week_2021_08_02/2021_08_04/person_pathing_0840_600000-900000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_04/person_pathing_0840_600000-900000.mp4
week_2021_08_02/2021_08_04/person_pathing_0843_0-300000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_04/person_pathing_0843_0-300000.mp4
week_2021_08_02/2021_08_04/person_pathing_0856_1500000-1800000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_04/person_pathing_0856_1500000-1800000.mp4
week_2021_08_02/2021_08_04/person_pathing_0858_1200000-1500000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_04/person_pathing_0858_1200000-1500000.mp4
week_2021_08_02/2021_08_04/person_pathing_0863_3600000-3691367.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_04/person_pathing_0863_3600000-3691367.mp4
week_2021_08_02/2021_08_04/person_pathing_0867_1799998-1877976.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_04/person_pathing_0867_1799998-1877976.mp4
week_2021_08_02/2021_08_04/person_pathing_0880_300000-599999.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_04/person_pathing_0880_300000-599999.mp4
week_2021_08_02/2021_08_04/person_pathing_0885_900000-1200000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_04/person_pathing_0885_900000-1200000.mp4
week_2021_08_02/2021_08_04/person_pathing_0891_300008-600016.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_04/person_pathing_0891_300008-600016.mp4
week_2021_08_02/2021_08_04/person_pathing_0896_900000-1200000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_04/person_pathing_0896_900000-1200000.mp4
week_2021_08_02/2021_08_05/person_pathing_0918_3300000-3600000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_05/person_pathing_0918_3300000-3600000.mp4
week_2021_08_02/2021_08_05/person_pathing_0920_900000-1200000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_05/person_pathing_0920_900000-1200000.mp4
week_2021_08_02/2021_08_05/person_pathing_0922_2700000-3000000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_05/person_pathing_0922_2700000-3000000.mp4
week_2021_08_02/2021_08_05/person_pathing_0926_2700000-3000000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_05/person_pathing_0926_2700000-3000000.mp4
week_2021_07_19/2021_07_22/Person Pathing 309_1800000-2100000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 309_1800000-2100000.mp4
week_2021_07_19/2021_07_22/Person Pathing 310_2099998-2399998.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 310_2099998-2399998.mp4
week_2021_07_19/2021_07_22/Person Pathing 310_2399998-2699997.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 310_2399998-2699997.mp4
week_2021_07_19/2021_07_22/Person Pathing 310_599999-899999.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 310_599999-899999.mp4
week_2021_07_19/2021_07_22/Person Pathing 314_2100000-2400000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 314_2100000-2400000.mp4
week_2021_07_19/2021_07_22/Person Pathing 316_0-300000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 316_0-300000.mp4
week_2021_07_19/2021_07_22/Person Pathing 316_300000-600000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 316_300000-600000.mp4
week_2021_07_19/2021_07_22/Person Pathing 322_1200000-1500000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 322_1200000-1500000.mp4
week_2021_07_19/2021_07_22/Person Pathing 322_600000-900000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 322_600000-900000.mp4
week_2021_07_19/2021_07_22/Person Pathing 322_900000-1200000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 322_900000-1200000.mp4
week_2021_07_19/2021_07_22/Person Pathing 324_300000-600000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 324_300000-600000.mp4
week_2021_07_19/2021_07_22/Person Pathing 324_600000-900000.mp4,Alessandro,,,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 324_600000-900000.mp4
